Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
chart,,,,0,0,0,5,,,,,14.093721900018863,14.093721900018863,1.6510416666666667,2.4527157999109477,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
keys,,,,0,1,1,12,,,,,16.562650999985635,16.562650999985635,1.6510416666666667,0.5984278999967501,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
police,,,,0,2,2,11,,,,,17.192952999961562,17.192952999961562,1.6510416666666667,0.594057299895212,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
cushion,,,,0,3,3,1,,,,,17.81891489995178,17.81891489995178,1.6510416666666667,0.5355428999755532,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
book,,,,0,4,4,0,,,,,18.38418950000778,18.38418950000778,1.6510416666666667,0.4572011000709608,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
marble,,,,0,5,5,2,,,,,18.87332380004227,18.87332380004227,1.6510416666666667,0.43828880006913096,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
pastry,,,,0,6,6,8,,,,,19.34007679997012,19.34007679997012,1.6510416666666667,0.5409211999503896,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
laptop,,,,0,7,7,4,,,,,19.910808500018902,19.910808500018902,1.6510416666666667,0.459201299934648,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
poster,,,,0,8,8,13,,,,,20.399860300007276,20.399860300007276,1.6510416666666667,0.5477351999143139,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
case,,,,0,9,9,9,,,,,20.978702699998394,20.978702699998394,1.6510416666666667,0.5449589999625459,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
tshirt,,,,0,10,10,6,,,,,21.552135600009933,21.552135600009933,1.6510416666666667,0.5422304000239819,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
board,,,,0,11,11,3,,,,,22.12089390004985,22.12089390004985,1.6510416666666667,0.549495599931106,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
cruise,,,,0,12,12,10,,,,,22.705015799961984,22.705015799961984,1.6510416666666667,0.7995911000762135,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
mouse,,,,0,13,13,7,,,,,23.52472900005523,23.52472900005523,1.6510416666666667,2.0670156000414863,,,,,,,,,,,,,,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,ta_l_,table,new,,,,,0,0,0,15,,,,,25.620607499964535,25.620607499964535,25.620607499964535,0.014247999992221594,table,[-0.020833333333333332],[-0.3020833333333333],[1],[0],[0],[7.774506899993867],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,_oo_,book,old,,,,,0,1,1,13,,,,,33.41665999998804,33.41665999998804,33.41665999998804,0.008171299938112497,book,[-0.07291666666666667],[-0.30859375],[1],[0],[0],[4.9379960999358445],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,p_nc_l,pencil,new,,,,,0,2,2,16,,,,,38.36670260003302,38.36670260003302,38.36670260003302,0.008429200039245188,pencil,[-0.06770833333333333],[-0.2864583333333333],[1],[0],[0],[3.4202493000775576],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,p_li_e,police,old,,,,,0,3,3,7,,,,,41.802645400050096,41.802645400050096,41.802645400050096,0.010352900018915534,police,[-0.06770833333333333],[-0.2877604166666667],[1],[0],[0],[3.201956000062637],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,c_s_io_,cushion,new,,,,,0,4,4,14,,,,,45.0162355999928,45.0162355999928,45.0162355999928,0.008622099994681776,cushion,[-0.07161458333333333],[-0.3138020833333333],[1],[0],[0],[3.5043698000954464],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,c_m_ra,camera,new,,,,,0,5,5,19,,,,,48.53138559998479,48.53138559998479,48.53138559998479,0.008563900017179549,camera,[-0.06901041666666667],[-0.3190104166666667],[1],[0],[0],[3.6050543000455946],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,v_s_,vase,new,,,,,0,6,6,17,,,,,52.155715900007635,52.155715900007635,52.155715900007635,0.015195799991488457,vase,[-0.07291666666666667],[-0.3046875],[1],[0],[0],[3.28125760005787],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,_a_bl_,marble,old,,,,,0,7,7,11,,,,,55.448627699981444,55.448627699981444,55.448627699981444,0.00899630005005747,table,[-0.07291666666666667],[-0.3046875],[1],[0],[0],[5.420769500080496],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,c_s_,case,old,,,,,0,8,8,5,,,,,60.881303400034085,60.881303400034085,60.881303400034085,0.009343200013972819,case,[-0.07291666666666667],[-0.3046875],[1],[0],[0],[2.9537702000234276],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,_ou_e,mouse,old,,,,,0,9,9,3,,,,,63.846578800003044,63.846578800003044,63.846578800003044,0.008414800046011806,mouse,[-0.07291666666666667],[-0.3046875],[1],[0],[0],[3.8552555999485776],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,k_y_,keys,old,,,,,0,10,10,8,,,,,67.71306310000364,67.71306310000364,67.71306310000364,0.008030200027860701,keys,[-0.07291666666666667],[-0.3046875],[1],[0],[0],[2.621353300055489],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
,t_hi_t,tshirt,old,,,,,0,11,11,2,,,,,70.34835510002449,70.34835510002449,70.34835510002449,0.008459500037133694,tshirt,[-0.07291666666666667],[-0.3046875],[1],[0],[0],[2.9046705999644473],['submit_text'],,933725,001,2023-09-29_12h36.49.097,Word Priming Experiment,2023.1.3,59.99768405779158,
